127.0.0.1 - - [13/Nov/2022:22:13:26 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:28 +0700] "GET /sportingcomplex/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/trang-chu HTTP/1.1" 200 12200
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/CSS/main.css HTTP/1.1" 200 4395
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/font/fontawesome-free-6.1.2-web/css/all.css HTTP/1.1" 200 139588
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/img/logo.png HTTP/1.1" 200 89184
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/img/slider1.png HTTP/1.1" 200 2249417
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/img/Slider2.jpg HTTP/1.1" 200 332699
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/img/slider4.jpg HTTP/1.1" 200 140715
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/img/Slider3.jpg HTTP/1.1" 200 1282831
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:29 +0700] "GET /sportingcomplex/template/web/asset/JS/main.js HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:39 +0700] "GET /sportingcomplex/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:39 +0700] "GET /sportingcomplex/trang-chu HTTP/1.1" 200 12200
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:50 +0700] "GET /sportingcomplex/log-in?action=login HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:13:50 +0700] "GET /sportingcomplex/template/login/login.css HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:14:03 +0700] "POST /sportingcomplex/log-in HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:14:03 +0700] "GET /sportingcomplex/log-in?action=login&mess=saitaikhoanmatkhau&alert=danger HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:14:16 +0700] "GET /sportingcomplex/admin-home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:22:14:16 +0700] "GET /sportingcomplex/log-in?action=login&mess=not_login&alert=danger HTTP/1.1" 200 2307
